symbol,strategy,side,qty,entry,exit,entry_px,exit_px,pnl,ccy,hold
ENAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,25549,26-06-2026 16:27,26-06-2026 17:30,0.07826,0.078019688,4.1433251,USDT,63m 10s
ETHFIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,698.5,26-06-2026 17:08,26-06-2026 17:30,0.3603,0.359084853,0.5975348,USDT,21m 58s
GRASSUSDT-PERP,EMACrossStop&Reverse-001,SHORT,310.9,26-06-2026 16:29,26-06-2026 17:30,0.4443,0.444229559,-0.11622193,USDT,60m 59s
VIRTUALUSDT-PERP,EMACrossStop&Reverse-001,SHORT,742.3,26-06-2026 16:29,26-06-2026 17:30,0.5187,0.517831793,0.2597612,USDT,60m 59s
SPXUSDT-PERP,EMACrossStop&Reverse-001,SHORT,361,26-06-2026 17:11,26-06-2026 17:30,0.3181,0.317278947,0.1817141,USDT,18m 57s
HYPEUSDT-PERP,EMACrossStop&Reverse-001,LONG,20.23,26-06-2026 16:53,26-06-2026 17:30,62.102,61.98860702,-3.54911649,USDT,36m 57s
WLFIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,24155,26-06-2026 16:29,26-06-2026 17:30,0.05714,0.057154821,-1.7383957,USDT,60m 56s
DOGEUSDT-PERP,EMACrossStop&Reverse-001,LONG,462,26-06-2026 17:07,26-06-2026 17:29,0.07373,0.073462338,-0.15766143,USDT,22m 54s
NIGHTUSDT-PERP,EMACrossStop&Reverse-001,LONG,9008,26-06-2026 16:44,26-06-2026 17:29,0.0303,0.030144651,-1.67162272,USDT,45m 55s
VVVUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1.21,26-06-2026 16:48,26-06-2026 17:29,13.529,13.22668595,0.3496128,USDT,41m 58s
BUSDT-PERP,EMACrossStop&Reverse-001,LONG,147,26-06-2026 17:26,26-06-2026 17:29,0.2363,0.238447619,0.28080605,USDT,3m 53s
KAIAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,208,26-06-2026 17:22,26-06-2026 17:29,0.03399,0.033969904,-0.00288784,USDT,7m 53s
LABUSDT-PERP,EMACrossStop&Reverse-001,LONG,19,26-06-2026 16:28,26-06-2026 17:29,18.518,18.563,0.5027305,USDT,61m 53s
TIAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,193,26-06-2026 16:47,26-06-2026 17:29,0.3559,0.354327461,0.23496305,USDT,42m 53s
SKYUSDT-PERP,EMACrossStop&Reverse-001,SHORT,132,26-06-2026 17:09,26-06-2026 17:29,0.05071,0.05056,0.01311618,USDT,20m 56s
JSTUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3021,26-06-2026 16:54,26-06-2026 17:29,0.0827,0.082791023,-0.52495419,USDT,35m 52s
FILUSDT-PERP,EMACrossStop&Reverse-001,SHORT,39.8,26-06-2026 17:15,26-06-2026 17:29,0.72,0.717,0.0908037,USDT,14m 56s
JASMYUSDT-PERP,EMACrossStop&Reverse-001,LONG,27480,26-06-2026 16:35,26-06-2026 17:29,0.004501,0.004505339,-0.0045191,USDT,54m 52s
WLDUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3102,26-06-2026 17:22,26-06-2026 17:29,0.4639,0.4631,1.043823,USDT,7m 52s
SOLUSDT-PERP,EMACrossStop&Reverse-001,LONG,0.32,26-06-2026 17:07,26-06-2026 17:29,68.68,68.56875,-0.0575598,USDT,22m 51s
ATOMUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3.99,26-06-2026 17:17,26-06-2026 17:29,1.6,1.599,-0.00239201,USDT,12m 51s
ASTERUSDT-PERP,EMACrossStop&Reverse-001,LONG,810,26-06-2026 16:30,26-06-2026 17:29,0.6186,0.61753284,-1.3650338,USDT,59m 51s
AVAXUSDT-PERP,EMACrossStop&Reverse-001,LONG,6,26-06-2026 16:32,26-06-2026 17:29,6.153,6.135,-0.144864,USDT,57m 54s
CCUSDT-PERP,EMACrossStop&Reverse-001,SHORT,122,26-06-2026 17:21,26-06-2026 17:29,0.14865,0.14844,0.00749751,USDT,8m 48s
CHZUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1443,26-06-2026 17:16,26-06-2026 17:29,0.01769,0.01768,-0.01108946,USDT,13m 51s
DEXEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,5.45,26-06-2026 16:29,26-06-2026 17:29,22.98,23.08497248,-0.69762705,USDT,60m 52s
POLUSDT-PERP,EMACrossStop&Reverse-001,SHORT,93,26-06-2026 17:16,26-06-2026 17:29,0.07187,0.07182,-0.00203159,USDT,13m 51s
QNTUSDT-PERP,EMACrossStop&Reverse-001,SHORT,0.6,26-06-2026 17:25,26-06-2026 17:29,64.07,64.22,-0.128487,USDT,4m 51s
UBUSDT-PERP,EMACrossStop&Reverse-001,LONG,2488,26-06-2026 16:47,26-06-2026 17:29,0.07735,0.077159244,-0.66680951,USDT,42m 51s
XRPUSDT-PERP,EMACrossStop&Reverse-001,LONG,62.5,26-06-2026 16:27,26-06-2026 17:29,1.027,1.0242472,-0.23615148,USDT,62m 52s
MORPHOUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3.1,26-06-2026 17:24,26-06-2026 17:25,1.661,1.663,-0.0113522,USDT,1m 1s
COMPUSDT-PERP,EMACrossStop&Reverse-001,LONG,2.654,26-06-2026 16:30,26-06-2026 17:24,15.06,15.08342879,0.02217967,USDT,53m 59s
